Unnamed: 0,image,label
0,0.jpg,0 2 3 1 
1,1.jpg,3 0 2 1 
2,2.jpg,2 1 0 3 
3,3.jpg,2 0 3 1 
4,4.jpg,1 3 0 2 
5,5.jpg,2 1 0 3 
6,6.jpg,2 0 3 1 
7,7.jpg,2 1 0 3 
8,8.jpg,3 2 0 1 
9,9.jpg,2 3 1 0 
10,10.jpg,3 1 2 0 
11,11.jpg,3 0 2 1 
12,12.jpg,2 1 3 0 
13,13.jpg,2 0 3 1 
14,14.jpg,0 1 3 2 
15,15.jpg,3 0 1 2 
16,16.jpg,1 0 2 3 
17,17.jpg,3 2 1 0 
18,18.jpg,1 2 0 3 
19,19.jpg,3 2 1 0 
20,20.jpg,3 0 2 1 
21,21.jpg,1 3 2 0 
22,22.jpg,2 3 1 0 
23,23.jpg,3 0 1 2 
24,24.jpg,0 2 1 3 
25,25.jpg,1 3 2 0 
26,26.jpg,0 1 2 3 
27,27.jpg,0 3 2 1 
28,28.jpg,1 2 3 0 
29,29.jpg,2 0 1 3 
30,30.jpg,2 0 3 1 
31,31.jpg,1 3 2 0 
32,32.jpg,0 1 2 3 
33,33.jpg,1 3 2 0 
34,34.jpg,1 3 2 0 
35,35.jpg,0 1 2 3 
36,36.jpg,3 1 2 0 
37,37.jpg,1 3 2 0 
38,38.jpg,3 2 0 1 
39,39.jpg,0 3 1 2 
40,40.jpg,2 1 3 0 
41,41.jpg,2 0 3 1 
42,42.jpg,3 2 0 1 
43,43.jpg,3 1 2 0 
44,44.jpg,3 2 0 1 
45,45.jpg,3 2 0 1 
46,46.jpg,1 0 2 3 
47,47.jpg,0 1 3 2 
48,48.jpg,3 0 1 2 
49,49.jpg,2 1 0 3 
50,50.jpg,0 2 3 1 
51,51.jpg,0 1 3 2 
52,52.jpg,0 3 1 2 
53,53.jpg,3 2 1 0 
54,54.jpg,3 0 1 2 
55,55.jpg,2 0 3 1 
56,56.jpg,0 3 2 1 
57,57.jpg,3 0 1 2 
58,58.jpg,0 1 3 2 
59,59.jpg,3 2 1 0 
60,60.jpg,2 1 0 3 
61,61.jpg,3 1 2 0 
62,62.jpg,1 0 2 3 
63,63.jpg,3 2 0 1 
64,64.jpg,3 1 0 2 
65,65.jpg,3 2 0 1 
66,66.jpg,0 1 2 3 
67,67.jpg,0 1 2 3 
68,68.jpg,3 0 1 2 
69,69.jpg,2 1 0 3 
70,70.jpg,2 0 3 1 
71,71.jpg,2 0 1 3 
72,72.jpg,3 0 1 2 
73,73.jpg,0 2 3 1 
74,74.jpg,0 3 1 2 
75,75.jpg,0 1 3 2 
76,76.jpg,3 1 0 2 
77,77.jpg,1 0 2 3 
78,78.jpg,2 1 0 3 
79,79.jpg,2 3 1 0 
80,80.jpg,1 2 3 0 
81,81.jpg,2 0 1 3 
82,82.jpg,1 0 3 2 
83,83.jpg,3 1 0 2 
84,84.jpg,1 2 0 3 
85,85.jpg,1 3 2 0 
86,86.jpg,0 3 2 1 
87,87.jpg,1 2 0 3 
88,88.jpg,1 3 2 0 
89,89.jpg,2 1 3 0 
90,90.jpg,2 0 3 1 
91,91.jpg,0 1 2 3 
92,92.jpg,0 2 1 3 
93,93.jpg,0 3 1 2 
94,94.jpg,1 3 2 0 
95,95.jpg,2 0 1 3 
96,96.jpg,0 2 3 1 
97,97.jpg,3 1 0 2 
98,98.jpg,3 1 2 0 
99,99.jpg,1 3 0 2 
100,100.jpg,0 1 3 2 
101,101.jpg,2 1 0 3 
102,102.jpg,3 1 0 2 
103,103.jpg,0 2 1 3 
104,104.jpg,3 2 1 0 
105,105.jpg,3 1 0 2 
106,106.jpg,2 3 1 0 
107,107.jpg,3 1 2 0 
108,108.jpg,2 1 0 3 
109,109.jpg,3 0 2 1 
110,110.jpg,0 1 3 2 
111,111.jpg,2 1 0 3 
112,112.jpg,1 2 0 3 
113,113.jpg,2 0 3 1 
114,114.jpg,1 3 0 2 
115,115.jpg,1 2 3 0 
116,116.jpg,2 3 0 1 
117,117.jpg,1 0 2 3 
118,118.jpg,3 0 1 2 
119,119.jpg,1 3 0 2 
120,120.jpg,0 3 2 1 
121,121.jpg,2 1 3 0 
122,122.jpg,0 2 3 1 
123,123.jpg,2 3 1 0 
124,124.jpg,0 1 3 2 
125,125.jpg,0 3 2 1 
126,126.jpg,0 3 1 2 
127,127.jpg,1 0 3 2 
128,128.jpg,2 0 3 1 
129,129.jpg,0 1 3 2 
130,130.jpg,1 0 3 2 
131,131.jpg,1 3 0 2 
132,132.jpg,0 1 3 2 
133,133.jpg,2 1 0 3 
134,134.jpg,1 0 3 2 
