,image,label
0,4.jpg,1 0 3 2 
1,5.jpg,2 3 0 1 
2,9.jpg,0 2 1 3 
3,10.jpg,1 0 2 3 
4,11.jpg,0 3 1 2 
5,12.jpg,3 0 1 2 
6,13.jpg,2 1 3 0 
7,15.jpg,2 1 3 0 
8,16.jpg,2 0 3 1 
9,17.jpg,0 1 3 2 
10,19.jpg,1 3 0 2 
11,20.jpg,2 0 1 3 
12,21.jpg,1 3 0 2 
13,22.jpg,1 0 2 3 
14,23.jpg,1 2 0 3 
15,24.jpg,0 2 3 1 
16,26.jpg,0 1 3 2 
17,27.jpg,2 1 3 0 
18,28.jpg,1 3 0 2 
19,30.jpg,2 0 3 1 
20,31.jpg,3 2 1 0 
21,32.jpg,0 1 2 3 
22,33.jpg,3 0 2 1 
23,34.jpg,3 2 0 1 
24,35.jpg,3 1 0 2 
25,37.jpg,0 2 1 3 
26,38.jpg,3 0 1 2 
27,39.jpg,1 0 3 2 
28,41.jpg,3 0 2 1 
29,42.jpg,1 2 0 3 
30,43.jpg,3 2 1 0 
31,44.jpg,1 3 2 0 
32,45.jpg,1 2 3 0 
33,46.jpg,1 2 3 0 
34,48.jpg,1 3 0 2 
35,49.jpg,2 3 0 1 
36,50.jpg,3 1 2 0 
37,52.jpg,2 0 3 1 
38,53.jpg,2 3 0 1 
39,54.jpg,0 2 3 1 
40,55.jpg,1 2 0 3 
41,56.jpg,1 2 0 3 
42,57.jpg,3 2 1 0 
43,59.jpg,1 3 0 2 
44,60.jpg,1 3 0 2 
45,61.jpg,3 1 0 2 
46,63.jpg,2 3 0 1 
47,64.jpg,2 3 0 1 
48,65.jpg,2 0 1 3 
49,66.jpg,3 2 0 1 
50,67.jpg,2 3 0 1 
51,68.jpg,3 0 1 2 
52,70.jpg,3 2 0 1 
53,71.jpg,1 3 0 2 
54,73.jpg,0 3 2 1 
55,74.jpg,2 1 3 0 
56,75.jpg,2 0 3 1 
57,76.jpg,0 2 3 1 
58,77.jpg,3 0 2 1 
59,78.jpg,3 0 1 2 
60,79.jpg,2 3 0 1 
61,81.jpg,3 1 0 2 
62,82.jpg,3 0 2 1 
63,84.jpg,1 3 2 0 
64,85.jpg,3 1 2 0 
65,86.jpg,1 3 0 2 
66,87.jpg,3 2 1 0 
67,88.jpg,2 0 1 3 
68,89.jpg,2 1 3 0 
69,90.jpg,0 2 1 3 
70,92.jpg,0 2 1 3 
71,93.jpg,1 2 3 0 
72,95.jpg,1 0 3 2 
73,96.jpg,3 0 2 1 
74,97.jpg,1 2 0 3 
75,98.jpg,0 1 2 3 
76,99.jpg,0 3 2 1 
77,100.jpg,3 2 0 1 
78,101.jpg,3 2 1 0 
79,103.jpg,2 3 0 1 
80,104.jpg,0 1 3 2 
81,105.jpg,1 2 0 3 
82,106.jpg,1 0 2 3 
83,107.jpg,0 3 2 1 
84,108.jpg,0 3 1 2 
85,109.jpg,2 0 1 3 
86,110.jpg,3 0 1 2 
87,111.jpg,3 1 0 2 
88,112.jpg,2 3 1 0 
89,115.jpg,3 2 1 0 
90,116.jpg,3 1 0 2 
91,117.jpg,3 2 0 1 
92,119.jpg,2 1 0 3 
93,120.jpg,0 3 1 2 
94,121.jpg,3 2 0 1 
95,122.jpg,0 1 2 3 
96,123.jpg,3 1 2 0 
97,124.jpg,0 3 2 1 
98,126.jpg,2 1 0 3 
99,127.jpg,1 2 3 0 
100,128.jpg,2 3 1 0 
101,129.jpg,1 2 0 3 
102,131.jpg,1 3 0 2 
103,132.jpg,2 3 1 0 
104,133.jpg,3 1 0 2 
105,134.jpg,2 1 0 3 
106,135.jpg,1 3 2 0 
107,137.jpg,1 3 2 0 
108,138.jpg,1 2 0 3 
109,139.jpg,0 1 3 2 
110,140.jpg,1 0 3 2 
111,142.jpg,0 2 1 3 
112,143.jpg,0 2 1 3 
113,144.jpg,3 2 1 0 
114,145.jpg,2 0 1 3 
115,146.jpg,0 1 2 3 
116,148.jpg,2 3 0 1 
117,149.jpg,3 2 0 1 
118,150.jpg,1 2 0 3 
119,151.jpg,1 3 2 0 
120,153.jpg,2 1 3 0 
121,154.jpg,2 3 1 0 
122,155.jpg,3 2 1 0 
123,156.jpg,2 1 3 0 
124,157.jpg,2 0 1 3 
125,159.jpg,3 1 0 2 
126,160.jpg,1 2 3 0 
127,161.jpg,3 2 0 1 
128,162.jpg,3 2 0 1 
129,164.jpg,2 3 1 0 
130,165.jpg,0 1 2 3 
131,166.jpg,1 2 3 0 
132,167.jpg,1 2 0 3 
133,168.jpg,2 0 1 3 
134,170.jpg,1 2 0 3 
135,171.jpg,1 2 0 3 
136,172.jpg,1 3 0 2 
137,174.jpg,3 1 2 0 
138,175.jpg,2 0 3 1 
139,176.jpg,3 1 0 2 
140,177.jpg,1 2 3 0 
141,178.jpg,3 2 0 1 
142,179.jpg,0 1 3 2 
143,181.jpg,2 0 3 1 
144,182.jpg,1 0 2 3 
145,183.jpg,0 1 3 2 
146,185.jpg,0 3 1 2 
147,186.jpg,0 3 1 2 
148,187.jpg,1 0 3 2 
149,188.jpg,0 1 3 2 
150,189.jpg,2 1 0 3 
151,190.jpg,1 0 3 2 
152,192.jpg,1 3 2 0 
153,193.jpg,1 2 3 0 
154,194.jpg,0 3 2 1 
155,196.jpg,0 1 2 3 
156,197.jpg,0 2 3 1 
157,198.jpg,3 2 0 1 
158,199.jpg,1 0 3 2 
159,200.jpg,2 0 1 3 
160,201.jpg,0 2 1 3 
161,203.jpg,3 2 0 1 
162,204.jpg,0 2 3 1 
163,205.jpg,3 0 1 2 
164,207.jpg,2 1 3 0 
165,208.jpg,3 1 0 2 
166,209.jpg,0 3 2 1 
167,210.jpg,2 0 3 1 
168,211.jpg,0 2 1 3 
169,212.jpg,0 1 3 2 
170,214.jpg,3 1 2 0 
171,215.jpg,1 0 2 3 
172,216.jpg,3 2 0 1 
173,218.jpg,3 0 2 1 
174,219.jpg,3 2 1 0 
175,220.jpg,0 1 2 3 
176,221.jpg,1 0 3 2 
177,222.jpg,3 0 2 1 
178,223.jpg,0 2 3 1 
179,226.jpg,3 1 0 2 
180,227.jpg,1 2 3 0 
181,230.jpg,2 1 0 3 
182,231.jpg,0 1 3 2 
183,232.jpg,3 0 2 1 
184,233.jpg,2 3 1 0 
185,234.jpg,2 1 3 0 
186,235.jpg,0 3 1 2 
187,237.jpg,3 1 2 0 
188,238.jpg,2 1 0 3 
189,239.jpg,1 3 2 0 
190,241.jpg,0 1 2 3 
191,242.jpg,2 1 0 3 
192,243.jpg,0 2 1 3 
193,244.jpg,1 2 0 3 
194,245.jpg,3 1 0 2 
195,246.jpg,2 3 0 1 
196,248.jpg,3 0 2 1 
197,249.jpg,3 2 1 0 
198,250.jpg,2 3 1 0 
199,252.jpg,3 1 0 2 
200,253.jpg,2 3 1 0 
201,254.jpg,0 1 3 2 
202,255.jpg,0 1 3 2 
203,256.jpg,0 1 2 3 
204,257.jpg,1 2 0 3 
205,259.jpg,1 2 3 0 
206,260.jpg,1 3 0 2 
207,261.jpg,2 3 0 1 
208,262.jpg,2 1 0 3 
209,263.jpg,3 0 1 2 
210,264.jpg,1 2 0 3 
211,265.jpg,1 2 0 3 
212,266.jpg,3 2 0 1 
213,267.jpg,3 2 0 1 
214,268.jpg,1 2 3 0 
215,270.jpg,0 1 3 2 
216,271.jpg,0 3 1 2 
217,272.jpg,3 2 0 1 
218,274.jpg,3 0 2 1 
219,275.jpg,3 2 0 1 
220,276.jpg,0 1 3 2 
221,277.jpg,1 2 0 3 
222,278.jpg,2 3 1 0 
223,279.jpg,0 2 1 3 
224,281.jpg,1 0 2 3 
225,282.jpg,0 3 1 2 
226,283.jpg,2 3 1 0 
227,285.jpg,0 1 3 2 
228,286.jpg,2 3 0 1 
229,287.jpg,3 2 1 0 
230,288.jpg,0 1 3 2 
231,289.jpg,3 1 2 0 
232,290.jpg,1 2 0 3 
233,292.jpg,3 2 0 1 
234,293.jpg,3 2 1 0 
235,294.jpg,1 2 3 0 
236,296.jpg,2 1 0 3 
237,297.jpg,3 2 1 0 
238,298.jpg,1 3 2 0 
239,299.jpg,3 0 1 2 
240,300.jpg,3 1 2 0 
241,301.jpg,2 3 0 1 
242,303.jpg,1 2 0 3 
243,304.jpg,1 0 2 3 
244,305.jpg,2 0 1 3 
245,307.jpg,0 2 3 1 
246,308.jpg,1 2 3 0 
247,309.jpg,0 3 2 1 
248,310.jpg,3 2 1 0 
249,311.jpg,2 0 1 3 
250,312.jpg,1 3 2 0 
251,314.jpg,0 1 3 2 
252,315.jpg,1 0 3 2 
253,316.jpg,2 1 0 3 
254,318.jpg,0 1 2 3 
255,319.jpg,0 1 2 3 
256,320.jpg,1 2 0 3 
257,321.jpg,2 1 0 3 
258,322.jpg,0 2 3 1 
259,323.jpg,2 3 0 1 
260,325.jpg,2 0 1 3 
261,326.jpg,0 1 2 3 
262,327.jpg,2 3 1 0 
263,329.jpg,3 0 1 2 
264,330.jpg,1 2 3 0 
265,331.jpg,0 2 3 1 
266,332.jpg,1 2 0 3 
267,333.jpg,1 0 2 3 
268,334.jpg,0 2 3 1 
269,337.jpg,0 3 1 2 
270,338.jpg,1 2 0 3 
271,339.jpg,2 1 3 0 
272,342.jpg,0 3 1 2 
273,343.jpg,3 2 1 0 
274,344.jpg,3 0 2 1 
275,345.jpg,3 1 0 2 
276,346.jpg,3 0 1 2 
277,348.jpg,0 2 1 3 
278,349.jpg,3 0 2 1 
279,350.jpg,0 2 1 3 
280,351.jpg,2 0 1 3 
281,353.jpg,1 0 3 2 
282,354.jpg,2 0 3 1 
283,355.jpg,0 3 1 2 
284,356.jpg,0 2 3 1 
285,357.jpg,2 3 1 0 
286,359.jpg,2 0 1 3 
287,360.jpg,2 1 3 0 
288,361.jpg,3 0 1 2 
289,362.jpg,2 1 3 0 
290,364.jpg,3 2 0 1 
291,365.jpg,0 2 1 3 
292,366.jpg,3 1 0 2 
293,367.jpg,0 1 3 2 
294,368.jpg,2 3 0 1 
295,370.jpg,3 1 0 2 
296,371.jpg,2 3 0 1 
297,372.jpg,2 1 3 0 
298,373.jpg,1 0 3 2 
299,374.jpg,1 2 3 0 
300,375.jpg,0 2 3 1 
301,376.jpg,2 1 0 3 
302,377.jpg,0 2 3 1 
303,378.jpg,2 3 0 1 
304,379.jpg,0 2 3 1 
305,381.jpg,2 3 1 0 
306,382.jpg,2 1 0 3 
307,383.jpg,3 0 2 1 
308,385.jpg,2 1 3 0 
309,386.jpg,3 1 2 0 
310,387.jpg,1 2 0 3 
311,388.jpg,1 3 0 2 
312,389.jpg,3 1 0 2 
313,390.jpg,0 3 2 1 
314,392.jpg,3 0 1 2 
315,393.jpg,0 1 2 3 
316,394.jpg,3 0 1 2 
317,396.jpg,3 1 0 2 
318,397.jpg,1 0 2 3 
319,398.jpg,3 1 0 2 
320,399.jpg,1 2 3 0 
321,400.jpg,0 2 1 3 
322,401.jpg,3 2 0 1 
323,403.jpg,1 2 3 0 
324,404.jpg,2 1 3 0 
325,405.jpg,1 3 0 2 
326,406.jpg,2 1 0 3 
327,407.jpg,1 3 0 2 
328,408.jpg,1 2 3 0 
329,409.jpg,3 0 2 1 
330,410.jpg,0 3 2 1 
331,411.jpg,2 1 0 3 
332,412.jpg,2 3 0 1 
333,414.jpg,1 0 2 3 
334,415.jpg,2 1 3 0 
335,416.jpg,0 2 3 1 
336,417.jpg,2 1 3 0 
337,419.jpg,3 2 0 1 
338,420.jpg,1 0 3 2 
339,421.jpg,1 3 2 0 
340,422.jpg,2 1 0 3 
341,423.jpg,0 2 1 3 
342,425.jpg,0 1 2 3 
343,426.jpg,1 2 0 3 
344,427.jpg,1 2 3 0 
345,429.jpg,1 0 2 3 
346,430.jpg,3 1 0 2 
347,431.jpg,1 2 0 3 
348,432.jpg,2 1 3 0 
349,433.jpg,2 3 1 0 
350,434.jpg,2 3 1 0 
351,436.jpg,2 3 1 0 
352,437.jpg,1 3 0 2 
353,438.jpg,2 3 1 0 
354,440.jpg,0 2 1 3 
355,441.jpg,2 3 0 1 
356,442.jpg,3 1 0 2 
357,443.jpg,1 0 2 3 
358,444.jpg,0 3 1 2 
359,445.jpg,3 1 2 0 
360,448.jpg,0 2 1 3 
361,449.jpg,2 1 0 3 
362,450.jpg,2 1 3 0 
363,453.jpg,3 0 1 2 
364,454.jpg,1 2 0 3 
365,455.jpg,3 2 0 1 
366,456.jpg,1 2 0 3 
367,457.jpg,0 2 3 1 
368,459.jpg,2 0 1 3 
369,460.jpg,3 1 2 0 
370,461.jpg,2 1 3 0 
371,462.jpg,2 0 3 1 
372,464.jpg,2 3 0 1 
373,465.jpg,2 3 1 0 
374,466.jpg,3 0 2 1 
375,467.jpg,3 2 0 1 
376,468.jpg,0 1 2 3 
377,470.jpg,2 1 3 0 
378,471.jpg,1 3 2 0 
379,472.jpg,2 0 1 3 
380,473.jpg,2 3 1 0 
381,475.jpg,1 0 2 3 
382,476.jpg,2 3 1 0 
383,477.jpg,1 2 3 0 
384,478.jpg,2 3 0 1 
385,479.jpg,3 2 0 1 
386,481.jpg,0 3 2 1 
387,482.jpg,1 0 2 3 
388,483.jpg,3 2 1 0 
389,485.jpg,2 1 0 3 
390,486.jpg,1 3 2 0 
391,487.jpg,2 1 0 3 
392,488.jpg,3 2 1 0 
393,489.jpg,2 1 3 0 
394,490.jpg,1 2 0 3 
395,492.jpg,0 3 2 1 
396,493.jpg,2 1 0 3 
397,494.jpg,2 3 0 1 
398,496.jpg,0 1 2 3 
399,497.jpg,2 3 1 0 
400,498.jpg,0 2 1 3 
401,499.jpg,0 1 2 3 
402,500.jpg,0 1 2 3 
403,501.jpg,2 0 1 3 
404,503.jpg,3 0 2 1 
405,504.jpg,2 3 0 1 
406,505.jpg,1 3 2 0 
407,507.jpg,2 3 1 0 
408,508.jpg,3 2 0 1 
409,509.jpg,2 1 3 0 
410,510.jpg,0 3 1 2 
411,511.jpg,0 2 3 1 
412,512.jpg,0 3 2 1 
413,514.jpg,3 1 2 0 
414,515.jpg,2 3 1 0 
415,516.jpg,0 1 2 3 
416,518.jpg,3 1 0 2 
417,519.jpg,2 3 1 0 
418,520.jpg,2 0 1 3 
419,521.jpg,3 2 1 0 
420,522.jpg,2 1 3 0 
421,523.jpg,1 3 2 0 
422,525.jpg,2 1 0 3 
423,526.jpg,2 0 3 1 
424,527.jpg,0 3 2 1 
425,529.jpg,3 1 2 0 
426,530.jpg,0 3 1 2 
427,531.jpg,1 0 3 2 
428,532.jpg,0 2 1 3 
429,533.jpg,1 0 2 3 
